4.22E+03,7.94E-02,-2.08E-03
3.16E+03,8.39E-02,-8.84E-03
2.37E+03,8.68E-02,-1.43E-02
1.78E+03,8.89E-02,-1.80E-02
1.33E+03,9.21E-02,-2.16E-02
1.00E+03,9.53E-02,-2.46E-02
7.50E+02,9.98E-02,-2.78E-02
5.62E+02,1.04E-01,-3.15E-02
4.22E+02,1.10E-01,-3.53E-02
3.16E+02,1.15E-01,-3.95E-02
2.37E+02,1.22E-01,-4.40E-02
1.78E+02,1.30E-01,-4.97E-02
1.33E+02,1.38E-01,-5.54E-02
1.00E+02,1.47E-01,-6.43E-02
7.50E+01,1.59E-01,-7.10E-02
5.62E+01,1.71E-01,-7.96E-02
4.22E+01,1.84E-01,-8.95E-02
3.16E+01,2.00E-01,-1.01E-01
2.37E+01,2.18E-01,-1.13E-01
1.78E+01,2.39E-01,-1.26E-01
1.33E+01,2.62E-01,-1.41E-01
1.00E+01,2.91E-01,-1.56E-01
7.50E+00,3.23E-01,-1.71E-01
5.62E+00,3.61E-01,-1.85E-01
4.22E+00,4.04E-01,-1.95E-01
3.16E+00,4.52E-01,-2.00E-01
2.37E+00,4.99E-01,-1.99E-01
1.78E+00,5.47E-01,-1.89E-01
1.33E+00,5.90E-01,-1.75E-01
1.00E+00,6.24E-01,-1.52E-01
7.50E-01,6.54E-01,-1.28E-01
5.62E-01,6.75E-01,-1.04E-01
4.22E-01,6.88E-01,-8.10E-02
3.16E-01,6.98E-01,-6.31E-02
2.37E-01,7.03E-01,-4.68E-02
1.78E-01,7.07E-01,-3.43E-02
1.33E-01,7.09E-01,-2.39E-02
1.00E-01,7.09E-01,-1.60E-02
7.50E-02,7.10E-01,-8.67E-03
5.62E-02,7.10E-01,-3.36E-03
5.00E-02,7.11E-01,-1.08E-03
