4.22E+03,6.82E-02,1.14E-03
3.16E+03,7.26E-02,-5.41E-03
2.37E+03,7.41E-02,-9.71E-03
1.78E+03,7.59E-02,-1.28E-02
1.33E+03,7.79E-02,-1.54E-02
1.00E+03,8.02E-02,-1.78E-02
7.50E+02,8.33E-02,-1.99E-02
5.62E+02,8.64E-02,-2.26E-02
4.22E+02,9.03E-02,-2.48E-02
3.16E+02,9.45E-02,-2.82E-02
2.37E+02,9.92E-02,-3.13E-02
1.78E+02,1.04E-01,-3.47E-02
1.33E+02,1.10E-01,-3.91E-02
1.00E+02,1.17E-01,-4.53E-02
7.50E+01,1.25E-01,-4.86E-02
5.62E+01,1.32E-01,-5.61E-02
4.22E+01,1.41E-01,-6.33E-02
3.16E+01,1.51E-01,-7.15E-02
2.37E+01,1.63E-01,-8.18E-02
1.78E+01,1.75E-01,-9.36E-02
1.33E+01,1.90E-01,-1.08E-01
1.00E+01,2.09E-01,-1.25E-01
7.50E+00,2.30E-01,-1.43E-01
5.62E+00,2.57E-01,-1.64E-01
4.22E+00,2.90E-01,-1.85E-01
3.16E+00,3.31E-01,-2.08E-01
2.37E+00,3.78E-01,-2.28E-01
1.78E+00,4.32E-01,-2.44E-01
1.33E+00,4.93E-01,-2.50E-01
1.00E+00,5.57E-01,-2.47E-01
7.50E-01,6.16E-01,-2.33E-01
5.62E-01,6.68E-01,-2.08E-01
4.22E-01,7.09E-01,-1.77E-01
3.16E-01,7.40E-01,-1.48E-01
2.37E-01,7.61E-01,-1.19E-01
1.78E-01,7.76E-01,-9.10E-02
1.33E-01,7.85E-01,-6.97E-02
1.00E-01,7.91E-01,-5.18E-02
7.50E-02,7.95E-01,-3.76E-02
5.62E-02,7.96E-01,-2.55E-02
5.00E-02,7.97E-01,-2.12E-02
