,Freq,Real,Imag
0,0.01,79.59531516558678,0.5853828799729278
1,0.012589254117941675,79.35684821611608,-0.35010897418315945
2,0.015848931924611134,80.13478088362996,-0.4965125590847798
3,0.0199526231496888,78.88072378425343,0.1722199074588341
4,0.025118864315095794,78.46356852768177,-0.007843246029301643
5,0.03162277660168379,79.69310641588591,-0.991457948281132
6,0.039810717055349734,79.32387496890726,-0.7589859206324802
7,0.05011872336272725,78.9276849814641,-1.3970290713284064
8,0.06309573444801933,79.00706549954799,-0.8453494168769307
9,0.07943282347242814,79.54068263074785,-1.3498352616025557
10,0.1,79.4656995949508,-2.5748375915326447
11,0.12589254117941676,79.09378489612857,-2.9993858557964934
12,0.15848931924611143,79.02060839803194,-2.7216547759986236
13,0.19952623149688797,77.4352308844571,-3.148922589440455
14,0.25118864315095807,77.78796277791275,-4.088254161409258
15,0.31622776601683794,77.49906106006463,-4.586374488749881
16,0.3981071705534973,76.23638341874388,-4.907222149048223
17,0.5011872336272725,75.52757699726837,-6.144629369612336
18,0.6309573444801934,75.00643837961042,-6.745903037722258
19,0.7943282347242817,74.11247951810901,-6.443721887195376
20,1.0,71.4945719656618,-6.799263484516666
21,1.2589254117941675,71.68402793621033,-6.396273748208624
22,1.584893192461114,70.53270948366912,-7.907235824088158
23,1.9952623149688808,69.06578949297369,-6.982778542758874
24,2.5118864315095824,67.11398428813636,-6.859801561295498
25,3.1622776601683795,65.41349491009798,-6.239124432816739
26,3.981071705534973,65.11016819366176,-6.072133541756681
27,5.011872336272725,63.15219959947404,-5.946124146128435
28,6.309573444801936,62.485338089603225,-5.673876154897171
29,7.943282347242821,61.89662091679554,-4.6726185681743795
30,10.0,62.19263464293077,-4.246391648154585
31,12.589254117941675,61.37468371776767,-4.153497920176793
32,15.848931924611142,61.340608800786526,-3.3148102901764855
33,19.952623149688808,61.12992192624348,-2.877630898280083
34,25.11886431509582,60.03703969085532,-4.009217744633747
35,31.622776601683793,59.910845179793874,-3.8715538819417694
36,39.810717055349734,59.5403052749966,-3.9916982488473653
37,50.11872336272725,58.91475262247424,-3.6398698265007234
38,63.095734448019364,58.514138106727124,-4.294487143450441
39,79.43282347242821,57.72703152040578,-4.830241707322515
40,100.0,58.25767828421073,-5.862325157234504
41,125.89254117941688,59.19010513695104,-6.054984068922049
42,158.48931924611142,56.87466665907655,-7.6027661235273305
43,199.52623149688787,56.0906622743916,-7.74034837836967
44,251.18864315095823,55.05047744479261,-8.911848907155282
45,316.22776601683796,52.830142524858175,-11.076751166197779
46,398.1071705534977,53.08316212091379,-13.178579195136408
47,501.18723362727246,50.65224037558565,-13.227814946037341
48,630.9573444801943,47.329254310510635,-15.965042661073475
49,794.3282347242822,44.95672250341333,-16.5517345440654
50,1000.0,41.14532707917094,-17.888982528582606
51,1258.9254117941687,38.35620857272954,-18.93764832804079
52,1584.893192461114,34.86463280011568,-18.497575982566605
53,1995.262314968883,31.91901238813549,-17.407470871693686
54,2511.886431509582,28.98051912137644,-17.771000436524485
55,3162.2776601683795,25.217699434949367,-16.846126380658696
56,3981.0717055349774,22.351922650767108,-15.656515856924491
57,5011.872336272725,20.418446054753872,-13.537614518596888
58,6309.573444801943,17.70287583748234,-11.104969425282585
59,7943.282347242822,16.922086828378053,-10.675532366481397
60,10000.0,14.523613149374926,-9.127432209104903
61,12589.254117941688,13.991018545241621,-7.9807217886726285
62,15848.93192461114,13.165564788668176,-6.287237773949825
63,19952.62314968883,14.044772039280785,-5.380711753985154
64,25118.864315095823,11.969146706813055,-4.670425169763111
65,31622.776601683792,11.013907640214214,-3.669039407089338
66,39810.71705534977,11.872919709437591,-4.030287317386698
67,50118.72336272725,11.295116038542439,-3.501430875378677
68,63095.73444801943,11.117710944171375,-2.875586196515727
69,79432.82347242821,11.113919354137586,-2.45532386573366
70,100000.0,10.31734650895725,-0.992574312159415
71,125892.54117941688,10.558224875807706,-1.1720622205376645
72,158489.3192461114,10.492660206396984,-1.432683137567748
73,199526.2314968883,10.808338975892555,-1.3556178596693806
74,251188.6431509582,9.98701455084087,-0.7192864242383247
75,316227.7660168379,10.314105588368689,-1.529880329105698
76,398107.17055349774,10.106919478242357,-0.44377380931497934
77,501187.2336272725,10.41673509005716,-0.7269111314280868
78,630957.3444801943,10.122401200801553,-1.2756750708631222
79,794328.2347242822,10.943425818706574,-0.13793563078951485
80,1000000.0,10.083846373998668,-0.5077477529442347
